sector,area_m2,pisos,habitaciones,banos,antiguedad,garaje,precio
Centro Norte,75.1,1,3,3,25,1,89163.35
Conocoto,117.8,2,5,2,3,1,127270.46
Calderon,100.2,1,4,2,3,1,55719.84
Cumbaya,200.3,1,2,2,1,1,354304.14
Tumbaco,166.6,2,4,2,1,0,219094.17
Quitumbe,212.2,1,2,2,5,1,137209.03
Calderon,97.3,1,2,2,6,1,65262.81
Centro Historico,142.0,1,3,2,8,0,111508.52
Gonzalez Suarez,219.5,2,3,2,1,1,478240.98
Gonzalez Suarez,88.7,2,3,3,4,1,209999.83
Quitumbe,107.3,2,3,3,5,0,84760.1
Gonzalez Suarez,82.3,1,4,2,3,1,138649.68
Quitumbe,148.6,3,2,2,7,1,119806.11
Quitumbe,98.1,2,1,2,9,1,75668.16
Calderon,150.6,1,4,2,0,1,116104.03
Conocoto,101.5,1,3,2,0,1,86310.19
Centro Historico,68.4,1,4,4,3,1,60433.05
Calderon,90.8,2,4,2,4,1,58919.3
Conocoto,159.9,2,3,3,0,1,167501.9
Centro Norte,76.8,1,3,4,3,1,110964.92
Cumbaya,126.8,1,2,2,0,1,214749.08
Quitumbe,124.8,1,4,1,4,0,84919.81
Cumbaya,210.0,2,2,3,0,1,397592.05
Gonzalez Suarez,116.1,1,3,2,5,1,166509.69
Calderon,128.4,1,3,2,41,1,63350.39
Centro Norte,148.8,2,1,4,14,1,143125.53
Conocoto,179.2,1,2,3,10,0,189416.8
La Carolina,197.4,2,3,2,0,1,316665.36
Gonzalez Suarez,166.5,1,3,1,0,1,351324.49
La Carolina,69.8,3,2,2,3,1,143863.98
Gonzalez Suarez,145.6,2,3,2,10,1,248171.86
Carapungo,201.0,2,3,3,13,1,130797.35
Cumbaya,155.3,2,3,2,6,0,321968.63
Gonzalez Suarez,110.9,2,3,2,3,1,180321.32
Calderon,84.7,1,2,1,14,1,48765.62
Calderon,58.9,2,3,3,10,1,45787.85
Cumbaya,113.4,2,3,2,0,1,151809.87
Conocoto,126.4,1,2,2,0,0,94324.69
Cumbaya,121.9,2,2,2,1,1,191358.72
La Carolina,162.1,1,2,2,1,0,272255.57
Carapungo,166.1,2,3,2,0,0,80760.19
Centro Historico,170.5,1,3,2,3,1,181152.02
Conocoto,96.8,2,4,3,13,1,74920.99
Tumbaco,91.3,3,1,2,18,1,133094.59
Gonzalez Suarez,49.3,3,1,2,9,1,94595.4
Calderon,168.0,1,4,3,9,1,136261.66
Calderon,199.7,2,2,2,2,1,122969.21
Quitumbe,77.8,1,3,4,13,1,58204.01
Conocoto,112.5,2,3,1,12,1,96323.98
Quitumbe,99.4,2,4,2,15,1,55581.25
La Carolina,118.5,1,3,2,2,1,181198.65
Gonzalez Suarez,139.3,1,3,2,22,1,203868.57
Quitumbe,160.1,2,3,2,16,0,115125.61
Carapungo,167.0,2,3,2,2,1,132522.97
Centro Norte,101.7,2,5,1,2,0,124005.93
La Carolina,143.6,2,2,2,22,1,202949.16
Carapungo,135.6,1,2,2,1,0,96259.77
Calderon,302.2,1,5,2,0,1,288362.04
Carapungo,45.0,2,4,3,8,0,26677.43
Centro Historico,150.1,2,3,3,2,0,111609.48
Gonzalez Suarez,121.5,1,1,4,14,1,159306.04
Calderon,169.7,2,2,3,2,1,131622.39
Cumbaya,134.7,2,3,2,9,1,240213.86
La Carolina,153.9,2,5,3,2,1,290997.73
Cumbaya,154.4,1,1,2,2,1,280203.74
Tumbaco,100.9,1,2,2,2,1,122160.82
Quitumbe,170.6,2,4,2,9,1,157141.57
Quitumbe,163.2,1,3,1,0,1,104291.86
Cumbaya,99.8,3,2,3,1,1,203645.26
Carapungo,122.9,2,5,2,5,1,73133.97
Tumbaco,246.8,2,2,2,14,1,273684.44
Conocoto,148.2,1,3,2,0,1,128934.66
Calderon,179.8,1,4,2,14,1,109150.1
Quitumbe,106.5,2,2,1,22,1,73440.62
Gonzalez Suarez,163.6,2,3,3,20,1,326599.32
Centro Historico,117.8,1,2,2,2,1,111963.98
Carapungo,220.3,2,2,2,5,1,144817.54
La Carolina,204.8,1,3,2,0,1,329981.55
Centro Norte,113.2,3,1,2,1,1,142588.3
Cumbaya,233.8,2,2,2,2,0,374326.07
Cumbaya,85.1,2,3,4,10,1,116626.11
Conocoto,64.7,3,2,2,9,1,55371.01
Cumbaya,45.0,3,3,3,13,1,76413.89
Cumbaya,199.7,3,3,3,13,1,379007.53
Cumbaya,223.5,2,4,2,8,0,289367.6
Conocoto,151.5,2,1,2,0,1,116816.28
Centro Historico,95.8,3,3,3,2,1,81781.59
Centro Historico,108.6,1,3,2,3,0,88503.33
La Carolina,173.6,2,4,4,6,1,282548.63
